episode,timestep,reward
1,400,-164954.260909
3,800,-2203185.486080
5,1200,-8330494.644995
7,1600,-15055004.961714
9,2000,-19837782.678241
11,2400,-26604701.199999
13,2800,-27315768.387516
15,3200,-26933207.571734
17,3600,-26363317.647267
19,4000,-25790987.945118
21,4400,-25780846.215278
23,4800,-25780825.096563
25,5200,-25780825.096563
27,5600,-25780825.096563
29,6000,-25780825.096563
31,6400,-25780825.096563
33,6800,-25780825.096563
35,7200,-25780825.096563
37,7600,-25780825.096563
39,8000,-25780825.096563
41,8400,-25780825.096563
43,8800,-25780825.096563
45,9200,-25780825.096563
47,9600,-25780825.096563
49,10000,-25780825.096563
51,10400,-25780825.096563
53,10800,-25780825.096563
55,11200,-25780825.096563
57,11600,-25780825.096563
59,12000,-25780825.096563
61,12400,-25780825.096563
63,12800,-25780825.096563
65,13200,-25780825.096563
67,13600,-25780825.096563
69,14000,-25780825.096563
71,14400,-25780825.096563
73,14800,-25780825.096563
75,15200,-25780825.096563
77,15600,-25780825.096563
79,16000,-25780825.096563
81,16400,-25780825.096563
83,16800,-25780825.096563
85,17200,-25780825.096563
87,17600,-25780825.096563
89,18000,-25780825.096563
91,18400,-25780825.096563
93,18800,-25780825.096563
95,19200,-25780825.096563
97,19600,-25780825.096563
99,20000,-25780825.096563
